"","global_level","date","cases","new_cases","deaths","new_deaths","weeks_since_death10","weeks_since_case100","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"26","Global",2020-07-13,13113693,1485163,569720,34677,25,25,7.6e+09,1725.5,195.4,75,4.6
"27","Global",2020-07-20,14718060,1604367,607075,37357,26,26,7.6e+09,1936.6,211.1,79.9,4.9
"28","Global",2020-07-27,16489030,1771017,650605,43531,27,27,7.6e+09,2169.6,233,85.6,5.7
"29","Global",2020-08-03,18290067,1801037,690206,39608,28,28,7.6e+09,2406.6,237,90.8,5.2
"30","Global",2020-08-10,20101148,1811081,731864,41658,29,29,7.6e+09,2644.9,238.3,96.3,5.5
"31","Global",2020-08-17,21898028,1796880,774773,42909,30,30,7.6e+09,2881.3,236.4,101.9,5.6
"32","Global",2020-08-24,23664985,1766957,813763,39429,31,31,7.6e+09,3113.8,232.5,107.1,5.2
"33","Global",2020-08-31,25507787,1843971,851239,37577,32,32,7.6e+09,3356.3,242.6,112,4.9
"34","Global",2020-09-07,27369538,1865427,893417,42182,33,33,7.6e+09,3601.3,245.5,117.6,5.6
"35","Global",2020-09-14,29310390,1940852,929125,35722,34,34,7.6e+09,3856.6,255.4,122.3,4.7
"36","Global",2020-09-21,31360955,2050565,965693,36568,35,35,7.6e+09,4126.4,269.8,127.1,4.8
"37","Global",2020-09-28,33399589,2038634,1002834,37141,36,36,7.6e+09,4394.7,268.2,132,4.9
"38","Global",2020-10-05,35518585,2118996,1045058,42224,37,37,7.6e+09,4673.5,278.8,137.5,5.6
"39","Global",2020-10-12,37853372,2334787,1081886,36829,38,38,7.6e+09,4980.7,307.2,142.4,4.8
"40","Global",2020-10-19,40449477,2596105,1119413,37527,39,39,7.6e+09,5322.3,341.6,147.3,4.9
"41","Global",2020-10-26,43556087,3106610,1160954,41568,40,40,7.6e+09,5731.1,408.8,152.8,5.5
"42","Global",2020-11-02,47160469,3604382,1207684,46730,41,41,7.6e+09,6205.3,474.3,158.9,6.1
"43","Global",2020-11-09,51048135,3887667,1265399,57715,42,42,7.6e+09,6716.9,511.5,166.5,7.6
"44","Global",2020-11-16,55159561,4111426,1328375,62976,43,43,7.6e+09,7257.8,541,174.8,8.3
"45","Global",2020-11-23,59318637,4159076,1397952,69577,44,44,7.6e+09,7805.1,547.2,183.9,9.2
"46","Global",2020-11-30,63395022,4076385,1469781,71829,45,45,7.6e+09,8341.5,536.4,193.4,9.5
"47","Global",2020-12-07,67732835,4337813,1545940,76159,46,46,7.6e+09,8912.2,570.8,203.4,10
"48","Global",2020-12-14,72933248,5200413,1623002,77062,47,47,7.6e+09,9596.5,684.3,213.6,10.1
"49","Global",2020-12-21,77453884,4520636,1704380,81378,48,48,7.6e+09,10191.3,594.8,224.3,10.7
"50","Global",2020-12-28,81375394,3921510,1776439,72059,49,49,7.6e+09,10707.3,516,233.7,9.5
"51","Global",2021-01-04,85765567,4390173,1854902,78463,50,50,7.6e+09,11284.9,577.7,244.1,10.3
"52","Global",2021-01-11,90935305,5169738,1946368,91466,51,51,7.6e+09,11965.2,680.2,256.1,12
"53","Global",2021-01-18,95589323,4654018,2041575,95207,52,52,7.6e+09,12577.5,612.4,268.6,12.5
"54","Global",2021-01-25,99726260,4136937,2141820,100245,53,53,7.6e+09,13121.9,544.3,281.8,13.2
"55","Global",2021-02-01,103412985,3686725,2239470,97650,54,54,7.6e+09,13607,485.1,294.7,12.8
"56","Global",2021-02-08,106478033,3065048,2325512,86042,55,55,7.6e+09,14010.3,403.3,306,11.3
